,id,title,all
97,315011,Shin Godzilla,hideakianno hirokihasegawa yutakatakenouchi satomiishihara kengokoraaction adventure drama horror sciencefiction monster godzilla giantmonster destruction kaiju toyko
98,49051,The Hobbit: An Unexpected Journey,peterjackson ianmckellen martinfreeman richardarmitage andyserkisadventure fantasy action riddle elves dwarves orcs middle-earth(tolkien) hobbit mountains wizard journey ring goblin courage giant tunnel undergroundlake buriedtreasure climbingatree invisibility ancient gnomes
99,9799,The Fast and the Furious,robcohen paulwalker vindiesel michellerodriguez jordanabrewsteraction crime thriller streetgang carrace undercover auto-tuning losangeles car automobileracing aftercreditsstinger duringcreditsstinger
100,4922,The Curious Case of Benjamin Button,davidfincher cateblanchett bradpitt tildaswinton juliaormondfantasy drama thriller mystery romance diary navy funeral tea travel hospital
101,49538,X-Men: First Class,matthewvaughn jamesmcavoy michaelfassbender jenniferlawrence kevinbaconaction sciencefiction adventure cia mutant mine marvelcomic superhero basedoncomicbook superhuman historicalfiction nuclearwar cubanmissilecrisis worldwariii 1960s
102,131634,The Hunger Games: Mockingjay - Part 2,francislawrence jenniferlawrence joshhutcherson liamhemsworth woodyharrelsonaction adventure sciencefiction revolution strongwoman dystopia gameofdeath 3d basedonyoungadultnovel
103,27022,The Sorcerer's Apprentice,jonturteltaub nicolascage jaybaruchel monicabellucci alfredmolinafantasy adventure action comedy drama witch fire wolf fountain magic book castle water apprentice training merlin love mission sorcerer dragon aftercreditsstinger apprendista morgana
104,503,Poseidon,wolfgangpetersen kurtrussell richarddreyfuss joshlucas jacindabarrettadventure action drama thriller newyear'seve fire drowning cataclysm lossoffather atlanticocean ball self-abandonment shipwreck giantwave blackout ship daughter single escape capsizedship
105,241259,Alice Through the Looking Glass,jamesbobin johnnydepp miawasikowska annehathaway helenabonhamcarterfantasy basedonnovel clock queen sequel aliceinwonderland darkfantasy madhatter 3d
106,810,Shrek the Third,chrismiller mikemyers eddiemurphy camerondiaz julieandrewsfantasy adventure animation comedy family ambush sadness stage liberationofprisoners island traitor shipwreck prince ship donkey kingdom theatreplay transformation conciliation tricks heirtothethrone assault boardingschool coupd'etat teacher bestfriend dragon cowardliness pregnancy capture duringcreditsstinger
107,68735,Warcraft,duncanjones paulapatton travisfimmel benfoster robertkazinskyaction adventure fantasy videogame elves orcs magic chase basedoncomicbook sorcerer fictionalwar basedonvideogame wizard fictionallanguage muscles orc swordandsorcery
108,87101,Terminator Genisys,alantaylor arnoldschwarzenegger jasonclarke emiliaclarke jaicourtneysciencefiction action thriller adventure savingtheworld artificialintelligence cyborg killerrobot future timetravel dystopia sequel fiction duringcreditsstinger 3d
109,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,michaelapted skandarkeynes georgiehenley simonpegg garysweetadventure family fantasy basedonnovel magic goodvsevil king narnia fantasyworld knifeheldtothroat snowing quest
110,676,Pearl Harbor,michaelbay benaffleck joshhartnett katebeckinsale cubagoodingjr.history romance war nurse patriotism hawaii worldwarii pilot pearlharbor u.s.airforce airplane war army love pin-up
111,1858,Transformers,michaelbay shialabeouf joshduhamel meganfox rachaeltayloradventure sciencefiction action destroy transformation alien basedontoy transformers robot duringcreditsstinger teenagehero
112,1966,Alexander,oliverstone colinfarrell angelinajolie valkilmer jaredletowar history action adventure drama romance aristotle egypt greece persia elephant campaign alexanderthegreat homosexuality gayrelationship ancientworld
113,675,Harry Potter and the Order of the Phoenix,davidyates danielradcliffe rupertgrint emmawatson michaelgambonadventure fantasy family mystery prophecy witch lossoflover magic cuttingthecord childhero dyinganddeath broom sorcerer'sapprentice schoolofwitchcraft blackmagic deathofafriend sorcery occultism
114,674,Harry Potter and the Goblet of Fire,mikenewell danielradcliffe rupertgrint emmawatson ralphfiennesadventure fantasy family magic dyinganddeath broom sorcerer'sapprentice schoolofwitchcraft chosenone blackmagic boardingschool vision tournament teenager wizard teenagehero basedonyoungadultnovel
115,8960,Hancock,peterberg willsmith charlizetheron jasonbateman jaeheadfantasy action flying alcohol loveofone'slife forbiddenlove lovers affection advertisingexpert alcoholism invulnerability superhero pokies duringcreditsstinger
116,6479,I Am Legend,francislawrence willsmith alicebraga charlietahan sallirichardson-whitfielddrama horror action thriller sciencefiction savingtheworld lostcivilisation post-apocalyptic dystopia matteroflifeanddeath alone helplessness virus pandemic
117,118,Charlie and the Chocolate Factory,timburton johnnydepp freddiehighmore davidkelly annasophiarobbadventure comedy family fantasy londonengland fathersonrelationship chocolate factoryworker basedonnovel parentskidsrelationship candy overweightchild grandfathergrandsonrelationship teacher
118,2062,Ratatouille,janpinkava pattonoswalt ianholm louromano briandennehyanimation comedy family fantasy paris brotherbrotherrelationship expensiverestaurant river cook mouse confidence roof window leavingone'sfamily work restaurantcritic kitchen spice court cookbook family chef rat
119,272,Batman Begins,christophernolan christianbale michaelcaine liamneeson katieholmesaction crime drama himalaya martialarts dccomics crimefighter secretidentity undercover hero lossoffather society gothamcity vigilante superhero basedoncomicbook rivalry tragichero ninja goodvsevil crime superpowers hauntedbythepast evildoctor escapade mastervillain fightingcrime unfulfillment loveandromance unfulfilledlove
120,10527,Madagascar: Escape 2 Africa,ericdarnell benstiller jadapinkettsmith davidschwimmer chrisrockfamily animation africa jealousy dance hunger lion zoo hippopotamus chimp penguin volcano madagascar airplane zebra sequel shark imax duringcreditsstinger
121,18360,Night at the Museum: Battle of the Smithsonian,shawnlevy benstiller amyadams owenwilson hankazariaadventure fantasy action comedy family museum theodoreroosevelt duringcreditsstinger ameliaearhart smithsonian
122,2080,X-Men Origins: Wolverine,gavinhood hughjackman lievschreiber dannyhuston lynncollinsadventure action thriller sciencefiction corruption mutant boxer army marvelcomic superhero aftercreditsstinger duringcreditsstinger
123,605,The Matrix Revolutions,lillywachowski keanureeves laurencefishburne carrie-annemoss hugoweavingadventure action thriller sciencefiction savingtheworld artificialintelligence manvsmachine flying philosophy fortuneteller kungfu undergroundworld killerrobot temple subway dream sun hero fight sunlight computervirus key future precognition supercomputer machinetown yingyang dyinganddeath virtualreality dystopia computer faith worldreligion truth rescue mission cyberpunk womandirector yinyang gnosticism
124,109445,Frozen,chrisbuck kristenbell idinamenzel jonathangroff joshgadanimation adventure family queen musical princess betrayal snowman animation reindeer curse snow troll mountainclimber aftercreditsstinger womandirector 3d
125,604,The Matrix Reloaded,lillywachowski keanureeves carrie-annemoss laurencefishburne hugoweavingadventure action thriller sciencefiction savingtheworld artificialintelligence manvsmachine martialarts kungfu undergroundworld dream hero fight computervirus key future plato precognition rave dyinganddeath virtualreality dystopia computer faith worldreligion truth mission cyberpunk womandirector gnosticism
126,76338,Thor: The Dark World,alantaylor chrishemsworth natalieportman tomhiddleston anthonyhopkinsaction adventure fantasy marvelcomic superhero basedoncomicbook hostiletakeover norsemythology aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d asgard
127,76341,Mad Max: Fury Road,georgemiller tomhardy charlizetheron nicholashoult hughkeays-byrneaction adventure sciencefiction thriller future chase post-apocalyptic dystopia australia rescue survival ontherun convoy peakoil darkfuture
128,13448,Angels & Demons,ronhoward tomhanks ewanmcgregor ayeletzurer stellanskarsgårdthriller mystery rome vatican basedonnovel symbolism christian illuminati quantummechanics prequel antimatter conspiracy investigator catholicism cern
129,10195,Thor,kennethbranagh chrishemsworth natalieportman tomhiddleston anthonyhopkinsadventure fantasy action newmexico banishment shield marvelcomic hammer superhero basedoncomicbook redemption norsemythology aftercreditsstinger marvelcinematicuniverse 3d asgard odin heimdall
130,13053,Bolt,chriswilliams johntravolta mileycyrus susieessman markwaltonanimation family adventure comedy hamster kidsandfamily animal catvsdog duringcreditsstinger dogcatfriendship animallead girldogrelationship
131,19585,G-Force,hoytyeatman samrockwell penélopecruz tracymorgan jonfavreaufantasy action adventure family comedy dyr duringcreditsstinger
132,57165,Wrath of the Titans,jonathanliebesman samworthington liamneeson ralphfiennes edgarramírezadventure underworld hades mythology greekmythology zeus perseus gods ancientgreece basedongreekmyth ares 3d
133,62213,Dark Shadows,timburton johnnydepp michellepfeiffer helenabonhamcarter jackieearlehaleycomedy fantasy witch imprisonment vampire curse fishoutofwater chains gothic madness oldhouse lostlove angrymob 18thcentury ghost hiddenroom oldmansion
134,177677,Mission: Impossible - Rogue Nation,christophermcquarrie tomcruise rebeccaferguson simonpegg jeremyrenneraction adventure thriller londonengland spy austria villain sequel mission conspiracy viennaopera vienna
135,7978,The Wolfman,joejohnston beniciodeltoro anthonyhopkins emilyblunt hugoweavingdrama horror thriller fathersonrelationship victorianengland remake ruralsetting werewolf
